Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
Supervisors of production workers,51-1000,594.7,584.2,-10.5,-1.8,3.7,83.7,"$54,040",— ,— ,— 
First-line supervisors of production and operating workers,51-1011,594.7,584.2,-10.5,-1.8,3.7,83.7,"$54,040",Postsecondary non-degree award,Less than 5 years,None
Assemblers and fabricators,51-2000,1755.2,1819.4,64.2,3.7,1.4,371.5,"$28,580",— ,— ,— 
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,41.5,44,2.4,5.8,— ,9.1,"$45,950",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronics, and electromechanical assemblers",51-2020,263.2,244.6,-18.6,-7.1,0.3,31.9,"$29,420",— ,— ,— 
"Coil winders, tapers, and finishers",51-2021,14.4,12.9,-1.5,-10.5,— ,1.7,"$30,840",High school diploma or equivalent,None,Short-term on-the-job training
Electrical and electronic equipment assemblers,51-2022,198.3,184.9,-13.5,-6.8,0.3,24,"$28,810",High school diploma or equivalent,None,Short-term on-the-job training
Electromechanical equipment assemblers,51-2023,50.5,46.9,-3.6,-7.1,0.3,6.1,"$31,460",High school diploma or equivalent,None,Short-term on-the-job training
Engine and other machine assemblers,51-2031,42,41.4,-0.6,-1.4,2,6.7,"$36,110",High school diploma or equivalent,None,Short-term on-the-job training
Structural metal fabricators and fitters,51-2041,79.7,85.9,6.2,7.7,0.7,38.2,"$35,750",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,1328.9,1403.6,74.7,5.6,1.6,285.6,"$27,330",— ,— ,— 
Fiberglass laminators and fabricators,51-2091,18.2,17.4,-0.7,-4.1,1.6,2.9,"$28,830",High school diploma or equivalent,None,Moderate-term on-the-job training
Team assemblers,51-2092,1031.8,1081.3,49.5,4.8,1.6,212.6,"$27,640",High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2093,1.2,1.1,0,-2.6,— ,0.2,"$25,600",High school diploma or equivalent,None,Moderate-term on-the-job training
"Assemblers and fabricators, all other",51-2099,277.7,303.7,26,9.4,1.6,69.9,"$25,920",High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,51-3000,746.7,769.8,23.1,3.1,2.4,221.1,"$24,380",— ,— ,— 
Bakers,51-3011,167.6,177,9.4,5.6,6,50.1,"$23,140",Less than high school,None,Long-term on-the-job training
"Butchers and other meat, poultry, and fish processing workers",51-3020,380.8,394,13.2,3.5,0.8,109.1,"$24,420",— ,— ,— 
Butchers and meat cutters,51-3021,136.7,143.2,6.5,4.8,0.8,40.2,"$28,490",Less than high school,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,163.4,172,8.6,5.3,0.8,49,"$22,830",Less than high school,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,80.7,78.8,-2,-2.4,0.8,19.9,"$24,330",Less than high school,None,Short-term on-the-job training
Miscellaneous food processing workers,51-3090,198.3,198.8,0.5,0.2,2.3,61.9,"$25,780",— ,— ,— 
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,20,20.2,0.2,0.9,— ,5.4,"$28,430",Less than high school,None,Moderate-term on-the-job training
Food batchmakers,51-3092,105.2,102.5,-2.7,-2.6,2.9,34.2,"$26,550",High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,33.4,33.2,-0.2,-0.6,— ,8.7,"$26,350",High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,39.7,42.9,3.2,8.1,3.9,13.6,"$23,140",Less than high school,None,Moderate-term on-the-job training
Metal workers and plastic workers,51-4000,1898.3,1894.2,-4.2,-0.2,2,468.6,"$35,380",— ,— ,— 
Computer control programmers and operators,51-4010,164.6,191.7,27.1,16.5,— ,73.1,"$36,760",— ,— ,— 
"Computer-controlled machine tool operators, metal and plastic",51-4011,140.3,160.7,20.4,14.5,— ,59.6,"$35,580",High school diploma or equivalent,None,Moderate-term on-the-job training
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,24.3,31,6.7,27.6,— ,13.5,"$45,920",High school diploma or equivalent,None,Long-term on-the-job training
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,133.9,115.5,-18.4,-13.7,— ,25.8,"$33,900",— ,— ,— 
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,74.9,63,-11.9,-15.9,— ,14.4,"$32,330",High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,22.6,19.7,-2.9,-12.8,— ,4.3,"$34,060",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,36.4,32.8,-3.6,-9.9,— ,7,"$37,390",High school diploma or equivalent,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,338.8,300.4,-38.5,-11.4,0.6,47.6,"$31,470",— ,— ,— 
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,184.7,168.2,-16.4,-8.9,0.2,15.7,"$29,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,20.9,16.2,-4.7,-22.5,— ,4,"$33,940",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,71.5,62.5,-9,-12.6,2,16,"$31,620",High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,38.6,33.2,-5.4,-14,0.6,7.4,"$36,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,23.1,20.2,-2.9,-12.6,— ,4.5,"$35,820",High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,51-4041,397.5,432.4,34.8,8.8,1.1,125.9,"$39,500",High school diploma or equivalent,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, and casters",51-4050,31.5,27.2,-4.3,-13.6,0.8,4.1,"$37,180",— ,— ,— 
Metal-refining furnace operators and tenders,51-4051,20.8,18.5,-2.3,-10.9,0.8,2.7,"$38,900",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,10.7,8.7,-2,-18.7,0.8,1.4,"$34,060",High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers and patternmakers, metal and plastic",51-4060,10.6,11,0.4,3.8,6.3,2.4,"$44,340",— ,— ,— 
"Model makers, metal and plastic",51-4061,6.1,6.3,0.1,2.2,6.3,1.3,"$45,850",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,4.4,4.7,0.3,6,6.3,1.1,"$42,440",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,137.5,116.3,-21.2,-15.4,— ,16.6,"$28,800",— ,— ,— 
Foundry mold and coremakers,51-4071,12.4,10.4,-2,-16.2,— ,1.5,"$30,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,125,105.8,-19.2,-15.4,— ,15.1,"$28,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,85.9,74.5,-11.4,-13.2,— ,16.6,"$33,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Tool and die makers,51-4111,78.6,77.5,-1.1,-1.4,1.8,4.7,"$47,000",High school diploma or equivalent,None,Long-term on-the-job training
"Welding, soldering, and brazing workers",51-4120,411,442.3,31.4,7.6,5.8,132.2,"$36,090",— ,— ,— 
"Welders, cutters, solderers, and brazers",51-4121,357.4,378.2,20.8,5.8,5.8,108.5,"$36,300",High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,53.5,64.1,10.6,19.8,5.8,23.7,"$34,720",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous metal workers and plastic workers,51-4190,108.5,105.5,-3,-2.8,5.6,19.5,"$32,700",— ,— ,— 
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,22,21.6,-0.4,-1.9,— ,4.2,"$34,010",High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,12.7,12.3,-0.4,-3,— ,2.4,"$42,050",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,35,31.9,-3,-8.6,0.4,6.7,"$29,720",High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,12.6,12.6,0.1,0.4,4.1,2.5,"$34,300",High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,26.3,27.1,0.8,2.9,20.5,3.6,"$31,060",High school diploma or equivalent,None,Moderate-term on-the-job training
Printing workers,51-5100,276,261.5,-14.5,-5.3,3.3,51.9,"$34,100",— ,— ,— 
Prepress technicians and workers,51-5111,42.7,37.2,-5.5,-12.9,3.6,10.9,"$37,260",Postsecondary non-degree award,None,None
Printing press operators,51-5112,178.4,171.4,-7,-3.9,3.1,31.4,"$34,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,54.9,52.9,-2,-3.7,3.9,9.6,"$29,750",High school diploma or equivalent,None,Short-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,657.5,610.6,-47,-7.1,12.1,134.6,"$22,000",— ,— ,— 
Laundry and dry-cleaning workers,51-6011,210.7,231.2,20.5,9.7,4.9,82.9,"$19,930",Less than high school,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,54.3,55.7,1.4,2.6,1.9,6.9,"$19,670",Less than high school,None,Short-term on-the-job training
Sewing machine operators,51-6031,161.4,119.7,-41.7,-25.8,12,7.7,"$21,270",Less than high school,None,Short-term on-the-job training
Shoe and leather workers,51-6040,12.1,9.7,-2.4,-20.1,24,2,"$24,050",— ,— ,— 
Shoe and leather workers and repairers,51-6041,8.7,7.4,-1.2,-14,33.6,1.4,"$23,950",High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,3.5,2.3,-1.2,-35.3,— ,0.6,"$24,310",High school diploma or equivalent,None,Short-term on-the-job training
"Tailors, dressmakers, and sewers",51-6050,61,59.1,-1.9,-3.1,48.6,6.5,"$25,390",— ,— ,— 
"Sewers, hand",51-6051,11.1,10,-1,-9.3,48.5,1.2,"$22,820",Less than high school,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,49.9,49,-0.9,-1.8,48.7,5.3,"$26,280",Less than high school,None,Moderate-term on-the-job training
"Textile machine setters, operators, and tenders",51-6060,76.3,58.3,-17.9,-23.5,1.1,12.3,"$25,520",— ,— ,— 
Textile bleaching and dyeing machine operators and tenders,51-6061,11.4,8.6,-2.7,-24,— ,1.8,"$24,210",High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,15.5,11.3,-4.2,-27.1,— ,2.5,"$24,050",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,21.9,16.5,-5.4,-24.5,3.7,3.5,"$26,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,27.5,21.8,-5.6,-20.5,— ,4.4,"$25,850",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, and furnishings workers",51-6090,81.8,76.9,-4.9,-5.9,19,16.2,"$30,220",— ,— ,— 
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,18,15.8,-2.2,-12.2,1.6,2.9,"$32,430",High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,6.5,4.9,-1.6,-25,— ,1,"$38,650",High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,51-6093,40.9,41.2,0.3,0.7,31.7,11.3,"$29,930",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,16.4,15,-1.3,-8.2,13.7,1,"$25,930",High school diploma or equivalent,None,Short-term on-the-job training
Woodworkers,51-7000,222.3,239,16.7,7.5,9.2,46.3,"$28,440",— ,— ,— 
Cabinetmakers and bench carpenters,51-7011,86.2,89.7,3.5,4.1,9.3,10.4,"$30,980",High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,51-7021,14.8,15.3,0.5,3.3,7.6,2.8,"$28,500",High school diploma or equivalent,None,Short-term on-the-job training
"Model makers and patternmakers, wood",51-7030,2,2.1,0.1,3.5,— ,0.4,"$32,890",— ,— ,— 
"Model makers, wood",51-7031,1.3,1.3,0.1,5.5,— ,0.3,"$28,800",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,0.8,0.8,0,0.2,— ,0.1,"$39,840",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders",51-7040,101.7,113.4,11.7,11.5,1.8,26.1,"$26,730",— ,— ,— 
"Sawing machine setters, operators, and tenders, wood",51-7041,40.2,45.7,5.4,13.5,3.5,16.6,"$26,190",High school diploma or equivalent,None,Short-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,61.5,67.7,6.3,10.2,0.8,9.6,"$27,030",High school diploma or equivalent,None,Short-term on-the-job training
"Woodworkers, all other",51-7099,17.5,18.4,0.9,5,53.5,6.6,"$27,360",High school diploma or equivalent,None,Moderate-term on-the-job training
Plant and system operators,51-8000,314.2,311.8,-2.4,-0.8,— ,118,"$53,820",— ,— ,— 
"Power plant operators, distributors, and dispatchers",51-8010,60.7,56,-4.6,-7.6,— ,18.8,"$68,230",— ,— ,— 
Nuclear power reactor operators,51-8011,7.2,7.2,0,0.5,— ,2.3,"$74,990",High school diploma or equivalent,None,Long-term on-the-job training
Power distributors and dispatchers,51-8012,11.7,11.6,-0.1,-0.9,— ,3.6,"$71,690",High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,51-8013,41.8,37.2,-4.5,-10.8,— ,12.9,"$66,130",High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,37.9,39,1.2,3.1,— ,12.7,"$53,560",High school diploma or equivalent,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,111,119.6,8.6,7.7,— ,47.5,"$42,760",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous plant and system operators,51-8090,104.7,97.2,-7.5,-7.2,— ,38.9,"$57,980",— ,— ,— 
Chemical plant and system operators,51-8091,38.3,33.9,-4.4,-11.5,— ,14.2,"$54,390",High school diploma or equivalent,None,Long-term on-the-job training
Gas plant operators,51-8092,12.5,11.4,-1.1,-8.8,— ,4.7,"$61,140",High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,41.9,39.8,-2.1,-5.1,— ,15.5,"$61,850",High school diploma or equivalent,None,Long-term on-the-job training
"Plant and system operators, all other",51-8099,11.9,12,0.1,0.7,— ,4.5,"$53,130",High school diploma or equivalent,None,Long-term on-the-job training
Other production occupations,51-9000,2476.9,2527.1,50.2,2,2.5,655.1,"$29,330",— ,— ,— 
"Chemical processing machine setters, operators, and tenders",51-9010,97.7,91.8,-5.9,-6,0.2,34,"$43,280",— ,— ,— 
Chemical equipment operators and tenders,51-9011,56.4,51.7,-4.7,-8.3,0.2,19.7,"$47,100",High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,41.3,40.1,-1.2,-2.9,0.2,14.4,"$38,570",High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,181.8,176.8,-5,-2.7,2.3,51.3,"$32,290",— ,— ,— 
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,30.2,29.5,-0.7,-2.3,2.3,8.5,"$31,830",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,31.5,31,-0.5,-1.7,2.3,8.9,"$27,890",Less than high school,None,Moderate-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,120.1,116.4,-3.7,-3.1,2.3,33.9,"$33,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Cutting workers,51-9030,72.6,65.5,-7.1,-9.7,3,12.2,"$30,000",— ,— ,— 
"Cutters and trimmers, hand",51-9031,14.2,12.1,-2.2,-15.3,3,2.4,"$24,530",Less than high school,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders",51-9032,58.3,53.4,-4.9,-8.4,3,9.8,"$31,430",High school diploma or equivalent,None,Short-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,70.6,68.3,-2.2,-3.2,— ,19.2,"$31,310",High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,20.5,19.6,-0.9,-4.3,1,4.8,"$35,530",High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, and weighers",51-9061,464.3,490,25.7,5.5,1.6,127.7,"$34,460",High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,32.7,29.5,-3.2,-9.8,32.6,6.7,"$35,350",High school diploma or equivalent,None,Long-term on-the-job training
"Medical, dental, and ophthalmic laboratory technicians",51-9080,82.9,88.5,5.6,6.7,4.4,33.6,"$33,070",— ,— ,— 
Dental laboratory technicians,51-9081,39,40,1,2.6,4.3,14.2,"$36,090",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,51-9082,12.9,13.8,0.8,6.4,4.3,5.2,"$36,100",High school diploma or equivalent,None,Long-term on-the-job training
Ophthalmic laboratory technicians,51-9083,31,34.7,3.7,12.1,4.4,14.2,"$28,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders,51-9111,369.2,371.4,2.3,0.6,0.1,89.3,"$25,860",High school diploma or equivalent,None,Moderate-term on-the-job training
Painting workers,51-9120,149.7,155.2,5.5,3.7,3.9,32.8,"$32,850",— ,— ,— 
"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,83.8,84.2,0.4,0.5,3.9,15.7,"$30,530",High school diploma or equivalent,None,Moderate-term on-the-job training
"Painters, transportation equipment",51-9122,48.9,54,5.1,10.4,3.8,14,"$39,600",High school diploma or equivalent,None,Moderate-term on-the-job training
"Painting, coating, and decorating workers",51-9123,17,17,0,0.2,3.8,3.1,"$27,790",Less than high school,None,Moderate-term on-the-job training
Semiconductor processors,51-9141,21.3,15.5,-5.8,-27.1,— ,5,"$33,020",Associate's degree,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,47.1,47.2,0.1,0.2,4.1,13.9,"$23,120",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous production workers,51-9190,866.8,907.8,41.1,4.7,3,224.5,"$25,290",— ,— ,— 
Adhesive bonding machine operators and tenders,51-9191,16.8,16.9,0.1,0.6,— ,4.1,"$29,830",High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,16,15.9,-0.1,-0.6,1.5,3.8,"$26,210",Less than high school,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,8.3,8.3,0.1,1,— ,2,"$28,200",High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers and engravers,51-9194,9.7,9.3,-0.4,-3.8,10.9,2.3,"$28,390",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,42,45.1,3.1,7.5,26.9,17,"$29,300",High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, and tenders",51-9196,95,87.5,-7.6,-8,— ,8.5,"$34,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,51-9197,17.4,15.8,-1.5,-8.8,— ,4.1,"$41,210",High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,51-9198,419.9,449.6,29.8,7.1,0.2,102.2,"$22,810",Less than high school,None,Short-term on-the-job training
"Production workers, all other",51-9199,241.8,259.3,17.5,7.3,5.1,80.6,"$26,940",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation and material moving occupations,53-0000,9245.7,10036.4,790.6,8.6,4,2992.1,"$28,960",— ,— ,— 
Supervisors of transportation and material moving workers,53-1000,379.5,411.5,32,8.4,1.2,136.4,"$48,910",— ,— ,— 
Aircraft cargo handling supervisors,53-1011,6.8,6.9,0,0.7,1.3,1.9,"$47,930",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of helpers, laborers, and material movers, hand",53-1021,171.6,186.3,14.7,8.5,1.3,61.9,"$45,180",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,201,218.3,17.3,8.6,1.1,72.6,"$53,240",High school diploma or equivalent,Less than 5 years,None
Air transportation workers,53-2000,220.9,215.3,-5.6,-2.6,0.7,62.5,"$68,210",— ,— ,— 
Aircraft pilots and flight engineers,53-2010,104.1,103.3,-0.8,-0.8,1.4,33.7,"$98,410",— ,— ,— 
"Airline pilots, copilots, and flight engineers",53-2011,66.4,62.1,-4.4,-6.6,— ,19.2,"$114,200",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,53-2012,37.6,41.2,3.6,9.4,4,14.4,"$73,280",High school diploma or equivalent,None,Moderate-term on-the-job training
Air traffic controllers and airfield operations specialists,53-2020,32.1,32.8,0.7,2.3,— ,14.9,"$102,490",— ,— ,— 
Air traffic controllers,53-2021,25,25.4,0.4,1.4,— ,11.4,"$122,530",Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,53-2022,7.1,7.5,0.4,5.1,— ,3.5,"$48,080",High school diploma or equivalent,None,Long-term on-the-job training
Flight attendants,53-2031,84.8,79.2,-5.5,-6.5,— ,14,"$37,240",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Motor vehicle operators,53-3000,3945.4,4314.2,368.8,9.3,7.3,1013.2,"$32,800",— ,— ,— 
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,18.9,24.8,5.9,31.1,— ,9,"$23,440",High school diploma or equivalent,None,Moderate-term on-the-job training
Bus drivers,53-3020,654.3,712.2,57.9,8.9,1.3,178,"$29,550",— ,— ,— 
"Bus drivers, transit and intercity",53-3021,170.6,187.4,16.8,9.8,1.4,48.1,"$36,600",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bus drivers, school or special client",53-3022,483.6,524.8,41.1,8.5,1.3,129.9,"$28,080",High school diploma or equivalent,None,Short-term on-the-job training
Driver/sales workers and truck drivers,53-3030,2975.1,3236.5,261.4,8.8,7.2,737.2,"$34,550",— ,— ,— 
Driver/sales workers,53-3031,432,468.8,36.8,8.5,7.3,105.9,"$22,670",High school diploma or equivalent,None,Short-term on-the-job training
Heavy and tractor-trailer truck drivers,53-3032,1701.5,1894.1,192.6,11.3,7.2,464.7,"$38,200",Postsecondary non-degree award,None,Short-term on-the-job training
Light truck or delivery services drivers,53-3033,841.6,873.6,32,3.8,7.2,166.6,"$29,390",High school diploma or equivalent,None,Short-term on-the-job training
Taxi drivers and chauffeurs,53-3041,233,269.1,36.2,15.5,26.1,63.7,"$22,820",Less than high school,None,Short-term on-the-job training
"Motor vehicle operators, all other",53-3099,64.1,71.5,7.4,11.5,3,25.3,"$26,930",High school diploma or equivalent,None,Short-term on-the-job training
Rail transportation workers,53-4000,126,122.7,-3.3,-2.6,— ,38.8,"$52,910",— ,— ,— 
Locomotive engineers and operators,53-4010,44.9,42.9,-2,-4.5,— ,13.6,"$50,860",— ,— ,— 
Locomotive engineers,53-4011,38,36.5,-1.5,-3.9,— ,11.4,"$52,280",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Locomotive firers,53-4012,1.6,0.9,-0.7,-42,— ,0.5,"$44,920",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,5.3,5.4,0.1,2.4,— ,1.7,"$41,230",High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators",53-4021,25,24.4,-0.7,-2.6,— ,7.6,"$51,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors and yardmasters,53-4031,43.8,42.5,-1.3,-2.9,— ,13.3,"$54,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Subway and streetcar operators,53-4041,9,9.6,0.6,6.5,— ,3.3,"$62,730",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",53-4099,3.1,3.2,0.1,2.2,— ,1,"$55,080",High school diploma or equivalent,None,Moderate-term on-the-job training
Water transportation workers,53-5000,81.6,92.4,10.9,13.3,5.1,48.1,"$48,980",— ,— ,— 
Sailors and marine oilers,53-5011,31.9,36.9,5,15.5,— ,19.3,"$38,190",Less than high school,None,Moderate-term on-the-job training
Ship and boat captains and operators,53-5020,38.8,43.9,5.1,13.1,10.7,23.1,"$62,640",— ,— ,— 
"Captains, mates, and pilots of water vessels",53-5021,35.4,40.2,4.9,13.8,10.8,21.3,"$66,150",Bachelor's degree,None,None
Motorboat operators,53-5022,3.4,3.6,0.2,5.7,9.6,1.8,"$35,190",High school diploma or equivalent,None,Short-term on-the-job training
Ship engineers,53-5031,10.8,11.7,0.8,7.8,— ,5.7,"$70,890",Bachelor's degree,None,None
Other transportation workers,53-6000,334.6,371.8,37.2,11.1,0.6,161.4,"$21,600",— ,— ,— 
Bridge and lock tenders,53-6011,3.6,3.6,-0.1,-2,— ,1.4,"$45,940",High school diploma or equivalent,None,Short-term on-the-job training
Parking lot attendants,53-6021,128.3,137.6,9.3,7.3,0.1,70.9,"$19,540",Less than high school,None,Short-term on-the-job training
Automotive and watercraft service attendants,53-6031,109.5,129.3,19.8,18.1,0.9,51.2,"$20,140",Less than high school,None,Short-term on-the-job training
Traffic technicians,53-6041,6.6,7.3,0.8,11.7,— ,3.4,"$38,380",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,53-6051,26.2,29.1,2.9,11.2,4,11.7,"$63,680",High school diploma or equivalent,None,Moderate-term on-the-job training
"Transportation attendants, except flight attendants",53-6061,23.3,25.9,2.6,11,— ,6.4,"$21,490",High school diploma or equivalent,None,Short-term on-the-job training
"Transportation workers, all other",53-6099,37.1,39,1.9,5.1,— ,16.5,"$30,870",High school diploma or equivalent,None,Short-term on-the-job training
Material moving workers,53-7000,4157.8,4508.5,350.7,8.4,1.8,1531.7,"$24,230",— ,— ,— 
Conveyor operators and tenders,53-7011,39.1,40.5,1.3,3.4,— ,12.4,"$29,610",Less than high school,None,Short-term on-the-job training
Crane and tower operators,53-7021,43.8,51.2,7.4,16.8,0.8,22.4,"$47,290",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Dredge, excavating, and loading machine operators",53-7030,55.9,64.4,8.5,15.1,11,12.9,"$38,960",— ,— ,— 
Dredge operators,53-7031,2,2.2,0.3,13.3,10.8,0.4,"$37,170",Less than high school,None,Short-term on-the-job training
Excavating and loading machine and dragline operators,53-7032,50.7,58.9,8.2,16.2,11,12.3,"$38,290",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Loading machine operators, underground mining",53-7033,3.3,3.3,0,-0.6,11.4,0.3,"$48,420",Less than high school,None,Short-term on-the-job training
